"Τότεναμ","Σαουθάμπτον","Premier League","Χάντικαπ",":","Τότεναμ (-5)","38.00","|","Ισοπαλία (Σαουθάμπτον +5)","22.00","|","Σαουθάμπτον (+5)","N/A","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Χάντικαπ",":","Τότεναμ (-4)","13.00","|","Ισοπαλία (Σαουθάμπτον +4)","10.00","|","Σαουθάμπτον (+4)","1.11","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Χάντικαπ",":","Τότεναμ (-3)","6.90","|","Ισοπαλία (Σαουθάμπτον +3)","6.10","|","Σαουθάμπτον (+3)","1.30","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Χάντικαπ",":","Τότεναμ (-2)","3.55","|","Ισοπαλία (Σαουθάμπτον +2)","4.35","|","Σαουθάμπτον (+2)","1.77","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Χάντικαπ",":","Τότεναμ (-1)","2.09","|","Ισοπαλία (Σαουθάμπτον +1)","3.95","|","Σαουθάμπτον (+1)","2.90","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Χάντικαπ",":","Τότεναμ (+1)","1.12","|","Ισοπαλία (Σαουθάμπτον -1)","8.25","|","Σαουθάμπτον (-1)","14.50","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Χάντικαπ",":","Τότεναμ (+2)","1.007","|","Ισοπαλία (Σαουθάμπτον -2)","18.50","|","Σαουθάμπτον (-2)","39.00","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Χάντικαπ",":","Option 1","N/A","|","Ισοπαλία (Σαουθάμπτον -3)","46.00","|","Σαουθάμπτον (-3)","100.00","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Ασιατικό","Χάντικαπ",":","-3.5","6.30","|","+3.5","1.13","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Ασιατικό","Χάντικαπ",":","-3.25","6.30","|","+3.25","1.13","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Ασιατικό","Χάντικαπ",":","-3","5.60","|","+3","1.15","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Ασιατικό","Χάντικαπ",":","-2.75","4.35","|","+2.75","1.23","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Ασιατικό","Χάντικαπ",":","-2.5","3.50","|","+2.5","1.32","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Ασιατικό","Χάντικαπ",":","-2.25","3.20","|","+2.25","1.37","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Ασιατικό","Χάντικαπ",":","-2","2.90","|","+2","1.43","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Ασιατικό","Χάντικαπ",":","-1.75","2.39","|","+1.75","1.60","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Ασιατικό","Χάντικαπ",":","-1.5","2.09","|","+1.5","1.78","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Ασιατικό","Χάντικαπ",":","-1.25","1.87","|","+1.25","1.98","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Ασιατικό","Χάντικαπ",":","-1","1.63","|","+1","2.34","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Ασιατικό","Χάντικαπ",":","-0.75","1.50","|","+0.75","2.65","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Ασιατικό","Χάντικαπ",":","-0.5","1.43","|","+0.5","2.92","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Ασιατικό","Χάντικαπ",":","-0.25","1.29","|","+0.25","3.70","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Ασιατικό","Χάντικαπ",":","0","1.16","|","0","5.40","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Ασιατικό","Χάντικαπ",":","+0.25","1.16","|","-0.25","5.60","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Ασιατικό","Χάντικαπ",":","+0.5","1.14","|","-0.5","6.10","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Ασιατικό","Χάντικαπ",":","+0.75","1.09","|","-0.75","8.00","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Ασιατικό","Χάντικαπ",":","+1","1.03","|","-1","13.50","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Ασιατικό","Χάντικαπ",":","+1.25","1.03","|","-1.25","14.00","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Ασιατικό","Χάντικαπ",":","+1.5","1.02","|","-1.5","14.50","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Ασιατικό","Χάντικαπ",":","+1.75","1.009","|","-1.75","20.00","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Ασιατικό","Χάντικαπ",":","Τότεναμ","N/A","|","-2","39.00","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Ασιατικό","Χάντικαπ","1ο","Ημίχρονο",":","-2","10.00","|","+2","1.06","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Ασιατικό","Χάντικαπ","1ο","Ημίχρονο",":","-1.75","5.60","|","+1.75","1.15","|"
"Τότεναμ","Σαουθάμπτον","Premier League","Ασιατικό","Χάντικαπ","1ο","Ημίχρονο",":","-1.5","4.10","|","+1.5","1.25","|"
