"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Τελικό","Αποτέλεσμα",":","Μπόντο Γκλιμτ","3.35","|","Ισοπαλία","3.60","|","Λάτσιο","2.18","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Χάντικαπ",":","Μπόντο Γκλιμτ (-3)","47.00","|","Ισοπαλία (Λάτσιο +3)","21.00","|","Option 3","N/A","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Χάντικαπ",":","Μπόντο Γκλιμτ (-2)","17.50","|","Ισοπαλία (Λάτσιο +2)","9.25","|","Λάτσιο (+2)","1.09","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Χάντικαπ",":","Μπόντο Γκλιμτ (-1)","6.90","|","Ισοπαλία (Λάτσιο +1)","4.90","|","Λάτσιο (+1)","1.38","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Χάντικαπ",":","Μπόντο Γκλιμτ (+1)","1.74","|","Ισοπαλία (Λάτσιο -1)","3.90","|","Λάτσιο (-1)","4.00","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Χάντικαπ",":","Μπόντο Γκλιμτ (+2)","1.25","|","Ισοπαλία (Λάτσιο -2)","6.10","|","Λάτσιο (-2)","9.00","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Χάντικαπ",":","Μπόντο Γκλιμτ (+3)","1.05","|","Ισοπαλία (Λάτσιο -3)","12.00","|","Λάτσιο (-3)","22.00","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ",":","-2","16.50","|","+2","1.02","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ",":","-1.75","9.25","|","+1.75","1.07","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ",":","-1.5","7.30","|","+1.5","1.10","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ",":","-1.25","6.70","|","+1.25","1.12","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ",":","-1","6.10","|","+1","1.14","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ",":","-0.75","4.00","|","+0.75","1.26","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ",":","-0.5","3.20","|","+0.5","1.37","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ",":","-0.25","2.82","|","+0.25","1.45","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ",":","0","2.45","|","0","1.58","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ",":","+0.25","2.00","|","-0.25","1.85","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ",":","+0.5","1.76","|","-0.5","2.12","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ",":","+0.75","1.55","|","-0.75","2.50","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ",":","+1","1.36","|","-1","3.25","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ",":","+1.25","1.30","|","-1.25","3.65","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ",":","+1.5","1.25","|","-1.5","4.10","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ",":","+1.75","1.16","|","-1.75","5.50","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ",":","+2","1.09","|","-2","8.25","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ",":","+2.5","1.07","|","-2.5","9.50","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ","1ο","Ημίχρονο",":","-2","50.00","|","Λάτσιο","N/A","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ","1ο","Ημίχρονο",":","-1.75","20.00","|","+1.75","1.01","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ","1ο","Ημίχρονο",":","-1.5","13.50","|","+1.5","1.03","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ","1ο","Ημίχρονο",":","-1.25","12.00","|","+1.25","1.04","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ","1ο","Ημίχρονο",":","-1","11.50","|","+1","1.05","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ","1ο","Ημίχρονο",":","-0.75","5.30","|","+0.75","1.17","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ","1ο","Ημίχρονο",":","-0.5","3.75","|","+0.5","1.29","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ","1ο","Ημίχρονο",":","-0.25","3.10","|","+0.25","1.39","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ","1ο","Ημίχρονο",":","0","2.35","|","0","1.62","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ","1ο","Ημίχρονο",":","+0.25","1.69","|","-0.25","2.22","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ","1ο","Ημίχρονο",":","+0.5","1.47","|","-0.5","2.77","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ","1ο","Ημίχρονο",":","+0.75","1.29","|","-0.75","3.75","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ","1ο","Ημίχρονο",":","+1","1.13","|","-1","6.40","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ","1ο","Ημίχρονο",":","+1.25","1.10","|","-1.25","7.40","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ","1ο","Ημίχρονο",":","+1.5","1.09","|","-1.5","7.90","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ","1ο","Ημίχρονο",":","+1.75","1.04","|","-1.75","12.00","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ασιατικό","Χάντικαπ","1ο","Ημίχρονο",":","Μπόντο Γκλιμτ","N/A","|","-2","28.00","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ισοπαλία","Όχι","Στοίχημα",":","Μπόντο Γκλιμτ","2.42","|","Λάτσιο","1.56","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Γηπεδούχος","Όχι","Στοίχημα",":","Λάτσιο","1.54","|","Ισοπαλία","2.48","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Φιλοξενούμενος","Όχι","Στοίχημα",":","Ισοπαλία","1.94","|","Μπόντο Γκλιμτ","1.87","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ημίχρονο/Τελικό",":","Μπόντο Γκλιμτ / Μπόντο Γκλιμτ","5.30","|","Μπόντο Γκλιμτ / Ισοπαλία","15.00","|","Μπόντο Γκλιμτ / Λάτσιο","26.00","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ημίχρονο/Τελικό",":","Ισοπαλία / Μπόντο Γκλιμτ","7.50","|","Ισοπαλία / Ισοπαλία","5.50","|","Ισοπαλία / Λάτσιο","5.60","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ημίχρονο/Τελικό",":","Λάτσιο / Λάτσιο","3.40","|","Λάτσιο / Ισοπαλία","14.50","|","Λάτσιο / Μπόντο Γκλιμτ","32.00","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ημίχρονο","Ή","Τελικό",":","Μπόντο Γκλιμτ","2.42","|","Ισοπαλία","1.68","|","Λάτσιο","1.74","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Να","Κερδίσει","και","τα","2","Ημίχρονα",":","Μπόντο Γκλιμτ","12.50","|","Λάτσιο","6.30","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Γκολ","Και","Στα","2","Ημίχρονα",":","Ναι","1.75","|","Όχι","1.95","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Να","Σκοράρει","και","Στα","2","Ημίχρονα",":","Μπόντο Γκλιμτ","4.40","|","Λάτσιο","3.15","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Να","Βρεθεί","Πίσω","στο","Σκορ","Και","να","Κερδίσει",":","Μπόντο Γκλιμτ","12.50","|","Λάτσιο","9.75","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Σύνολο","Γκολ",":","0","10.00","|","1","4.40","|","2","3.45","|","3","3.95","|","4","5.80","|","5","10.00","|","6","20.00","|","7","42.00","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Σύνολο","Γκολ",":","0-2","1.79","|","0-4","1.10","|","0-1","3.30","|","0-5","1.03","|","0-3","1.29","|","1-5","1.10","|","1-2","2.06","|","1-3","1.42","|","1-4","1.19","|","2-6","1.32","|","2-3","1.96","|","2-4","1.53","|","2-5","1.38","|","3-5","2.11","|","3-6","1.97","|","3-4","2.50","|","4-6","3.50","|","4-5","4.00","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Σύνολο","Γκολ",":","1","1.05","|","2","1.30","|","3","1.91","|","4","3.30","|","5","6.60","|","6","14.50","|","7","33.00","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ακριβές","Σκορ",":","1:0","9.75","|","2:0","16.50","|","2:1","10.50","|","3:0","34.00","|","3:1","25.00","|","3:2","28.00","|","4:0","80.00","|","4:1","65.00","|","4:2","80.00","|","4:3","100.00","|","5:0","125.00","|","5:1","125.00","|","5:2","125.00","|","5:3","150.00","|","5:4","175.00","|","6:0","175.00","|","6:1","150.00","|","6:2","125.00","|","6:3","175.00","|","7:0","125.00","|","7:1","125.00","|","8:0","125.00","|","9:0","125.00","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ακριβές","Σκορ",":","0:0","9.75","|","1:1","6.40","|","2:2","12.50","|","3:3","45.00","|","4:4","125.00","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Ακριβές","Σκορ",":","0:1","7.60","|","0:2","9.75","|","1:2","8.25","|","0:3","18.50","|","1:3","15.50","|","2:3","24.00","|","0:4","40.00","|","1:4","40.00","|","2:4","60.00","|","3:4","95.00","|","0:5","95.00","|","1:5","90.00","|","2:5","100.00","|","3:5","175.00","|","4:5","150.00","|","0:6","175.00","|","1:6","125.00","|","2:6","125.00","|","3:6","150.00","|","0:7","125.00","|","1:7","125.00","|","2:7","175.00","|","0:8","125.00","|","0:9","125.00","|","0:10","125.00","|"
"Μπόντο Γκλιμτ","Λάτσιο","Europa League","Αποτέλεσμα","και","Over/Under","1.5",":","Over None","4.05","|","Under None","9.25","|"
